ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,gripper_pos_f1,gripper_pos_f2,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1764457733.000000000,960310697.000000000,0.502939844,0.086218243,0.093993384,0.975491898,-0.211457880,0.009003955,0.060124962,0.000001313,0.000001313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,961454391.000000000,0.502937857,0.086217563,0.093991075,0.975492057,-0.211457105,0.009001557,0.060125462,0.000001313,0.000001313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,962597846.000000000,0.502940795,0.086218435,0.093994410,0.975491685,-0.211458856,0.009004935,0.060124846,0.000001313,0.000001313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,964794397.000000000,0.502939949,0.086218486,0.093993791,0.975492137,-0.211456859,0.009004099,0.060124664,0.000001313,0.000001313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,966473579.000000000,0.502938898,0.086216186,0.093991939,0.975491581,-0.211459325,0.009002204,0.060125294,0.000001313,0.000001313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,967599630.000000000,0.502941318,0.086218197,0.093994934,0.975492517,-0.211454999,0.009005627,0.060124805,0.000001313,0.000001313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,969341516.000000000,0.502940428,0.086214934,0.093994257,0.975491565,-0.211459132,0.009005093,0.060125787,0.000001313,0.000001313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,970494747.000000000,0.502938864,0.086217278,0.093993451,0.975491914,-0.211457342,0.009004317,0.060126539,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,972684860.000000000,0.502939674,0.086218433,0.093993863,0.975492205,-0.211456407,0.009004288,0.060125109,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,973804950.000000000,0.502941349,0.086215830,0.093994490,0.975491011,-0.211461962,0.009004875,0.060124858,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,976495027.000000000,0.502940581,0.086215962,0.093994944,0.975491319,-0.211460239,0.009006015,0.060125757,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,979678153.000000000,0.502939661,0.086214119,0.093993680,0.975491367,-0.211460079,0.009004187,0.060125809,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,980772495.000000000,0.502940061,0.086217694,0.093994088,0.975492282,-0.211455942,0.009005178,0.060125366,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,982786893.000000000,0.502940046,0.086216529,0.093993636,0.975491565,-0.211459415,0.009004546,0.060124874,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,983315706.000000000,0.502939255,0.086218926,0.093994249,0.975491956,-0.211457371,0.009004600,0.060125717,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,984456539.000000000,0.502938223,0.086217869,0.093992150,0.975491643,-0.211459084,0.009002536,0.060125080,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,986898660.000000000,0.502940891,0.086216605,0.093994570,0.975492157,-0.211456477,0.009005522,0.060125467,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,988460063.000000000,0.502940016,0.086218932,0.093994448,0.975492538,-0.211454779,0.009005581,0.060125249,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,989627361.000000000,0.502939890,0.086221180,0.093994551,0.975492514,-0.211455000,0.009005349,0.060124895,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,990741014.000000000,0.502940288,0.086218121,0.093994630,0.975492181,-0.211456307,0.009006048,0.060125589,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,994673252.000000000,0.502939874,0.086219573,0.093993979,0.975492431,-0.211455407,0.009005321,0.060124802,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,996652364.000000000,0.502941297,0.086216866,0.093994730,0.975491989,-0.211457464,0.009004946,0.060124807,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,997612476.000000000,0.502942017,0.086217339,0.093996226,0.975491540,-0.211459368,0.009007737,0.060124971,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457733.000000000,998684406.000000000,0.502939908,0.086216575,0.093993172,0.975491802,-0.211458306,0.009004075,0.060125004,0.000000985,0.000000985,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
