ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1762365594.000000000,626768112.000000000,0.556624571,0.308441130,0.159156050,0.993072337,-0.082221920,0.083739664,0.005450872,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,627933979.000000000,0.556649117,0.308359058,0.159139079,0.993068223,-0.082284347,0.083725783,0.005471615,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,630041837.000000000,0.556688983,0.308206499,0.159103916,0.993061526,-0.082393919,0.083694705,0.005513476,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,631645202.000000000,0.556732315,0.308045392,0.159067676,0.993054233,-0.082510594,0.083663388,0.005557251,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,633882522.000000000,0.556774022,0.307889588,0.159032800,0.993046797,-0.082628736,0.083632384,0.005597275,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,635211944.000000000,0.556795025,0.307808615,0.159013221,0.993043272,-0.082687336,0.083614829,0.005619516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,635688543.000000000,0.556815224,0.307728785,0.158997170,0.993039741,-0.082743575,0.083599691,0.005640759,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,638174057.000000000,0.556856493,0.307569023,0.158961735,0.993032633,-0.082857539,0.083568205,0.005685535,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,638634681.000000000,0.556880751,0.307486441,0.158946770,0.993028308,-0.082921739,0.083554611,0.005704845,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,640834569.000000000,0.556918210,0.307327145,0.158909825,0.993021378,-0.083036176,0.083520350,0.005748039,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,641984939.000000000,0.556938891,0.307246564,0.158892683,0.993017783,-0.083093029,0.083505122,0.005768775,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,644147872.000000000,0.556979812,0.307081139,0.158856987,0.993010205,-0.083212563,0.083473062,0.005814067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
