x,y,z,vx,vy,vz,Kx,Ky,Kz
6.674504430000000044e-01,9.733378000000000863e-03,1.440624420000000128e-01,2.115480000000000138e-02,-2.928479999999999972e-02,-1.328969999999999978e-02,3.070373061641894878e+02,3.031131990167335744e+02,3.207844248115424080e+02
6.674971419999999878e-01,9.669350000000000167e-03,1.440306090000000039e-01,2.106840000000000102e-02,-2.828910000000000105e-02,-1.366440000000000016e-02,3.070276528361264354e+02,3.031117692942285657e+02,3.207797219805576106e+02
6.675206710000000099e-01,9.639081000000000732e-03,1.440168940000000064e-01,2.181419999999999887e-02,-2.714849999999999902e-02,-1.338089999999999939e-02,3.070181171104850364e+02,3.031103559873006361e+02,3.207750692149003839e+02
6.675698559999999615e-01,9.578855000000000702e-03,1.439860059999999997e-01,2.235540000000000097e-02,-2.771940000000000168e-02,-1.423289999999999972e-02,3.070093020146337608e+02,3.031090474978992688e+02,3.207707535863996782e+02
6.675951890000000333e-01,9.546683000000000252e-03,1.439694509999999983e-01,1.562670000000000031e-02,-1.789289999999999978e-02,-9.118799999999999822e-03,3.070000407183161997e+02,3.031076717225814718e+02,3.207662119796384559e+02
6.676219450000000499e-01,9.519212000000000853e-03,1.439556100000000116e-01,2.342640000000000000e-02,-2.732369999999999938e-02,-1.392509999999999928e-02,3.069944550373725178e+02,3.031068411592816574e+02,3.207634668950086052e+02
6.676732770000000095e-01,9.455603999999999398e-03,1.439230340000000052e-01,2.350230000000000027e-02,-2.655269999999999853e-02,-1.379159999999999935e-02,3.069857667525137686e+02,3.031055476806395745e+02,3.207591857980905274e+02
6.677002859999999762e-01,9.430703000000000349e-03,1.439096380000000064e-01,2.469719999999999901e-02,-2.461349999999999996e-02,-1.284180000000000044e-02,3.069774209787421455e+02,3.031043045580197486e+02,3.207550688275747461e+02
6.677556009999999764e-01,9.373559000000000058e-03,1.438802279999999989e-01,2.480069999999999844e-02,-2.551950000000000052e-02,-1.387350000000000042e-02,3.069705488209649502e+02,3.031032795971223095e+02,3.207516687828612589e+02
6.677829549999999559e-01,9.345637999999999862e-03,1.438633930000000061e-01,2.456370000000000081e-02,-2.436839999999999840e-02,-1.447559999999999993e-02,3.069628933840777449e+02,3.031021370895381892e+02,3.207478762142544610e+02
6.678374799999999833e-01,9.292330999999999161e-03,1.438319760000000003e-01,2.471970000000000070e-02,-2.529059999999999989e-02,-1.412219999999999968e-02,3.069552518582767675e+02,3.031009952519274862e+02,3.207440804420705831e+02
6.678653540000000222e-01,9.261336000000000221e-03,1.438163189999999980e-01,5.269859999999999822e-02,-4.875120000000000148e-02,-2.596530000000000019e-02,3.069475003788073764e+02,3.030998361661059448e+02,3.207402242013453133e+02
6.680131419999999487e-01,9.129827000000000081e-03,1.437454250000000100e-01,5.323470000000000285e-02,-4.658459999999999684e-02,-2.564879999999999938e-02,3.069347095081083125e+02,3.030979201735168544e+02,3.207338359715440674e+02
6.680428029999999628e-01,9.106054000000000578e-03,1.437308230000000075e-01,1.827629999999999880e-02,-1.413599999999999926e-02,-8.770200000000000565e-03,3.069229796530427166e+02,3.030961621820982828e+02,3.207279706032723539e+02
6.680740630000000513e-01,9.082707000000000627e-03,1.437161909999999931e-01,2.807099999999999873e-02,-2.119889999999999969e-02,-1.330469999999999917e-02,3.069196045599090894e+02,3.030956556623879123e+02,3.207262778138131125e+02
6.681363729999999501e-01,9.035391000000000256e-03,1.436864740000000085e-01,2.801549999999999874e-02,-2.216370000000000146e-02,-1.309979999999999999e-02,3.069146725909365045e+02,3.030949150342788698e+02,3.207238007876444499e+02
6.681674480000000527e-01,9.008827999999999975e-03,1.436725249999999954e-01,2.816489999999999966e-02,-2.233409999999999909e-02,-1.232970000000000073e-02,3.069094812344056322e+02,3.030941350797790506e+02,3.207211909231117488e+02
6.682302559999999669e-01,8.960944000000000201e-03,1.436453749999999918e-01,3.803789999999999949e-02,-2.822670000000000040e-02,-1.763819999999999971e-02,3.069046431342579808e+02,3.030934076436890336e+02,3.207187545525551400e+02
6.682942410000000111e-01,8.914738999999999650e-03,1.436137309999999945e-01,3.865589999999999998e-02,-2.785469999999999960e-02,-1.797510000000000080e-02,3.068982961749999845e+02,3.030924527288574382e+02,3.207155538691741867e+02
6.683591089999999513e-01,8.868094999999999450e-03,1.435854579999999991e-01,3.911189999999999806e-02,-2.780250000000000082e-02,-1.606350000000000139e-02,3.068921006523158894e+02,3.030915199268301876e+02,3.207124246521885880e+02
6.684246139999999725e-01,8.822063999999999254e-03,1.435601860000000063e-01,2.959950000000000081e-02,-2.120460000000000053e-02,-1.259069999999999981e-02,3.068869894851716253e+02,3.030907499462342116e+02,3.207098395281792591e+02
6.684577739999999491e-01,8.797413000000000455e-03,1.435434889999999963e-01,3.124920000000000128e-02,-2.034330000000000166e-02,-1.358009999999999946e-02,3.068828460841925221e+02,3.030901253406701699e+02,3.207077410451810238e+02
6.685287779999999902e-01,8.754253000000000035e-03,1.435149189999999908e-01,3.180120000000000169e-02,-1.946159999999999904e-02,-1.267380000000000069e-02,3.068790396099590794e+02,3.030895512826214144e+02,3.207058112048656540e+02
6.685637779999999974e-01,8.732540999999999914e-03,1.435012430000000005e-01,2.062409999999999938e-02,-1.290960000000000024e-02,-8.988599999999999368e-03,3.068761563934417609e+02,3.030891164390706649e+02,3.207043487768408454e+02
